iter	Passed	Remaining
845	5094	927
846	5095	920
847	5102	914
848	5107	908
849	5112	902
850	5116	895
851	5118	889
852	5122	882
853	5131	877
854	5136	871
855	5140	864
856	5143	858
857	5147	851
858	5149	845
859	5156	839
860	5159	832
861	5162	826
862	5164	819
863	5167	813
864	5179	808
865	5181	801
866	5183	795
867	5194	789
868	5197	783
869	5208	778
870	5212	771
871	5214	765
872	5218	759
873	5221	752
874	5231	747
875	5237	741
876	5239	734
877	5244	728
878	5250	722
879	5256	716
880	5261	710
881	5264	704
882	5266	697
883	5268	691
884	5285	686
885	5287	680
886	5294	674
887	5297	668
888	5299	661
889	5312	656
890	5315	650
891	5317	643
892	5320	637
893	5325	631
894	5327	624
895	5332	619
896	5340	613
897	5342	606
898	5345	600
899	5347	594
900	5349	587
901	5358	582
902	5364	576
903	5367	569
904	5370	563
905	5373	557
906	5375	551
907	5377	544
908	5389	539
909	5392	533
910	5398	527
911	5402	521
912	5404	514
913	5410	509
914	5418	503
915	5420	497
916	5422	490
917	5424	484
918	5441	479
919	5453	474
920	5455	467
921	5457	461
922	5471	456
923	5474	450
924	5477	444
925	5480	437
926	5483	431
927	5497	426
928	5499	420
929	5502	414
930	5505	407
931	5512	402
932	5514	396
933	5521	390
934	5529	384
935	5531	378
936	5534	372
937	5536	365
938	5549	360
939	5552	354
940	5556	348
941	5559	342
942	5561	336
943	5563	330
944	5574	324
945	5576	318
946	5579	312
947	5581	306
948	5589	300
949	5597	294
950	5599	288
951	5607	282
952	5609	276
953	5620	271
954	5622	264
955	5625	258
956	5627	252
957	5629	246
958	5645	241
959	5652	235
960	5654	229
961	5657	223
962	5667	217
963	5670	211
964	5673	205
965	5675	199
966	5678	193
967	5695	188
968	5698	182
969	5700	176
970	5702	170
971	5704	164
972	5718	158
973	5721	152
974	5724	146
975	5727	140
976	5733	134
977	5741	129
978	5744	123
979	5746	117
980	5748	111
981	5750	105
982	5753	99
983	5759	93
984	5762	87
985	5764	81
986	5768	75
987	5771	70
988	5779	64
989	5784	58
990	5787	52
991	5789	46
992	5791	40
993	5793	34
994	5799	29
995	5807	23
996	5809	17
997	5814	11
998	5816	5
999	5819	0
