iter	Passed	Remaining
715	1201	476
716	1202	474
717	1204	473
718	1206	471
719	1207	469
720	1208	467
721	1210	465
722	1211	464
723	1212	462
724	1214	460
725	1215	458
726	1216	456
727	1221	456
728	1224	455
729	1226	453
730	1228	451
731	1229	450
732	1230	448
733	1232	446
734	1233	444
735	1234	442
736	1236	441
737	1237	439
738	1238	437
739	1239	435
740	1241	433
741	1242	431
742	1243	430
743	1244	428
744	1246	426
745	1247	424
746	1248	422
747	1249	421
748	1251	419
749	1252	417
750	1253	415
751	1254	413
752	1256	412
753	1257	410
754	1258	408
755	1260	406
756	1261	404
757	1262	403
758	1263	401
759	1265	399
760	1266	397
761	1267	395
762	1269	394
763	1270	392
764	1271	390
765	1273	388
766	1274	387
767	1275	385
768	1276	383
769	1278	381
770	1280	380
771	1282	378
772	1283	376
773	1285	375
774	1286	373
775	1288	371
776	1289	370
777	1290	368
778	1292	366
779	1293	364
780	1294	363
781	1295	361
782	1297	359
783	1298	357
784	1299	356
785	1301	354
786	1302	352
787	1303	350
788	1305	349
789	1306	347
790	1307	345
791	1308	343
792	1310	341
793	1311	340
794	1312	338
795	1313	336
796	1315	334
797	1316	333
798	1317	331
799	1318	329
800	1320	328
801	1321	326
802	1322	324
803	1323	322
804	1325	321
805	1326	319
806	1328	317
807	1330	316
808	1331	314
809	1333	312
810	1334	311
811	1336	309
812	1337	307
813	1339	306
814	1341	304
815	1344	303
816	1348	301
817	1350	300
818	1352	298
819	1354	297
820	1356	295
821	1357	293
822	1359	292
823	1360	290
824	1363	289
825	1365	287
826	1367	286
827	1369	284
828	1371	282
829	1373	281
830	1376	279
831	1378	278
832	1380	276
833	1381	275
834	1383	273
835	1385	271
836	1387	270
837	1388	268
838	1390	266
839	1391	265
840	1393	263
841	1395	261
842	1396	260
843	1397	258
844	1399	256
845	1400	254
846	1401	253
847	1402	251
848	1403	249
849	1404	247
850	1406	246
851	1407	244
852	1408	242
853	1409	241
854	1411	239
855	1412	237
856	1413	235
857	1414	234
858	1415	232
859	1417	230
860	1418	228
861	1419	227
862	1420	225
863	1421	223
864	1423	222
865	1424	220
866	1425	218
867	1426	216
868	1427	215
869	1428	213
870	1430	211
871	1431	210
872	1432	208
873	1433	206
874	1435	205
875	1436	203
876	1437	201
877	1438	199
878	1439	198
879	1441	196
880	1442	194
881	1443	193
882	1444	191
883	1445	189
884	1447	188
885	1448	186
886	1449	184
887	1450	183
888	1452	181
889	1453	179
890	1454	177
891	1455	176
892	1456	174
893	1458	172
894	1459	171
895	1460	169
896	1461	167
897	1462	166
898	1465	164
899	1467	163
900	1470	161
901	1471	159
902	1472	158
903	1473	156
904	1475	154
905	1476	153
906	1477	151
907	1479	149
908	1480	148
909	1481	146
910	1482	144
911	1484	143
912	1485	141
913	1486	139
914	1487	138
915	1489	136
916	1490	134
917	1491	133
918	1492	131
919	1493	129
920	1494	128
921	1496	126
922	1497	124
923	1498	123
924	1499	121
925	1500	119
926	1502	118
927	1503	116
928	1504	114
929	1505	113
930	1506	111
931	1508	110
932	1509	108
933	1510	106
934	1511	105
935	1512	103
936	1513	101
937	1514	100
938	1516	98
939	1517	96
940	1518	95
941	1519	93
942	1520	91
943	1522	90
944	1523	88
945	1524	87
946	1525	85
947	1526	83
948	1528	82
949	1529	80
950	1530	78
951	1531	77
952	1532	75
953	1533	73
954	1535	72
955	1536	70
956	1537	69
957	1538	67
958	1539	65
959	1541	64
960	1542	62
961	1543	60
962	1544	59
963	1546	57
964	1547	56
965	1549	54
966	1550	52
967	1551	51
968	1552	49
969	1553	48
970	1555	46
971	1556	44
972	1557	43
973	1558	41
974	1559	39
975	1561	38
976	1562	36
977	1563	35
978	1564	33
979	1565	31
980	1567	30
981	1568	28
982	1569	27
983	1570	25
984	1571	23
985	1573	22
986	1574	20
987	1575	19
988	1576	17
989	1578	15
990	1579	14
991	1580	12
992	1581	11
993	1583	9
994	1584	7
995	1585	6
996	1586	4
997	1589	3
998	1591	1
999	1593	0
